year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family
2026,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.02817523080613562,0.023599450326672138,1.7062858686660298,1.418924427669015,3.1252102963350445,1.0130664845950328,0.44631600370270674,3.1660458085283443,52.46886016827073,55.634905976799075,0.05690754307823674,Original model reference case
2027,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.029889421405294894,0.024494887749248,1.864399786070719,1.5169457729856888,3.381345559056408,1.0029358197490825,0.4418528436656797,3.391272580127158,53.43074911108383,56.822021691210985,0.05968236397072277,Original model reference case
2028,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.03223517646908584,0.025720233909322272,2.071041555369052,1.6406152387226935,3.7116567940917458,0.9929064615515917,0.4374343152290229,3.68532801391556,54.38321889703741,58.06854691095297,0.06346513233001924,Original model reference case
2029,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.03517969004118492,0.027258352042179364,2.3280269010369676,1.7908889140568116,4.1189158150937795,0.9829773969360758,0.43305997207673264,4.048801146119718,55.32642182867414,59.37522297479386,0.06819007901391001,Original model reference case
2030,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.03849999999998644,0.028992773986343784,2.6241819257790993,1.9619866440472764,4.586168569826375,0.973147622966715,0.42872937235596525,4.4630190422511955,56.26900436419668,60.73202340644788,0.0734870796644223,Original model reference case
2031,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.041820309958787966,0.0307271959305082,2.9360110277948253,2.1417384378145186,5.077749465609344,0.9634161467370479,0.4244420786324057,4.891985824253458,57.227253020571325,62.119238844824785,0.07875154163549469,Original model reference case
2032,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.04476482353088705,0.032265314063365295,3.2370136936741223,2.3164163563368674,5.55343005001099,0.9537819852696773,0.4201976578460816,5.296761538155765,58.21875979060551,63.515521328761274,0.08339318370291438,Original model reference case
2033,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.04711057859467799,0.033490660223439564,3.508838040215717,2.476518975236176,5.985357015451893,0.9442441654169805,0.41599568126762076,5.651638439778042,59.255295693744785,64.90693413352282,0.0870729532248714,Original model reference case
2034,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.04882476919383726,0.034386097646015426,3.745607864293679,2.619015493233934,6.364623357527613,0.9348017237628108,0.41183572445494454,5.949660885717861,60.34037910543884,66.2900399911567,0.08975195800925091,Original model reference case
2035,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.049999999999972886,0.03499999999998584,3.9508390555867257,2.74574653695796,6.696585592544686,0.9254537065251827,0.4077173672103951,6.197379957683617,61.471586829700044,67.66896678738367,0.09158378281666137,Original model reference case
